City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fale old settlement,-9.3852,-171.2468,27.46,78,100,4.51,TK,1722885771
1,papatowai,-46.5619,169.4708,5.08,84,32,3.38,NZ,1722885591
2,blackmans bay,-43.0167,147.3167,10.41,74,100,1.79,AU,1722885773
3,qaqortoq,60.7167,-46.0333,9.45,69,100,1.65,GL,1722885774
4,kapa'a,22.0752,-159.319,27.49,71,20,6.17,US,1722885519
5,tarko-sale,64.9225,77.785,11.19,80,100,4.76,RU,1722885777
6,el granada,37.5027,-122.4694,23.6,73,0,2.57,US,1722885778
7,uturoa,-16.7333,-151.4333,25.82,73,100,5.5,PF,1722885779
8,thompson,55.7435,-97.8558,22.09,35,20,3.09,CA,1722885780
9,port elizabeth,-33.918,25.5701,13.16,64,0,3.6,ZA,1722885781
10,ribeira grande,38.5167,-28.7,26.22,83,20,5.14,PT,1722885782
11,burang,30.25,81.1667,11.08,73,100,2.8,CN,1722885783
12,peace river,56.2501,-117.286,15.17,94,100,3.09,CA,1722885784
13,mogadishu,2.0371,45.3438,24.57,80,2,10.06,SO,1722885190
14,chinchilla,-26.75,150.6333,13.34,99,100,4.22,AU,1722885786
15,rongelap,11.1635,166.8941,28.3,79,100,7.25,MH,1722885671
16,albany,42.6001,-73.9662,30.5,62,96,1.67,US,1722885789
17,puerto natales,-51.7236,-72.4875,1.25,80,40,2.57,CL,1722885790
18,yellowknife,62.456,-114.3525,20.79,52,75,3.6,CA,1722885791
19,chonchi,-42.6128,-73.8092,8.56,97,100,1.75,CL,1722885792
20,markovo,57.3206,107.0881,12.99,69,8,1.03,RU,1722885793
21,aasiaat,68.7098,-52.8699,3.05,88,64,1.21,GL,1722885645
22,adamstown,-25.066,-130.1015,19.49,65,21,5.49,PN,1722885795
23,edinburgh of the seven seas,-37.0676,-12.3116,13.74,91,92,11.02,SH,1722885796
24,mount gambier,-37.8333,140.7667,6.0,100,100,2.85,AU,1722885797
25,puerto ayora,-0.7393,-90.3518,24.98,78,59,5.32,EC,1722885798
26,whitehorse,60.7161,-135.0538,21.68,39,0,6.17,CA,1722885800
27,fort mcmurray,56.7268,-111.381,21.77,52,0,5.14,CA,1722885801
28,quang ngai,15.1167,108.8,24.1,91,100,1.91,VN,1722885802
29,colares,38.7992,-9.4469,24.55,76,20,12.35,PT,1722885803
30,wabag,-5.4781,143.7021,10.92,98,72,1.38,PG,1722885804
31,pisco,-13.7,-76.2167,19.03,72,0,4.63,PE,1722885616
32,minas de marcona,-15.2119,-75.1103,15.63,60,0,8.85,PE,1722885806
33,nora,59.5193,15.0398,20.69,86,100,0.15,SE,1722885807
34,waitangi,-43.9535,-176.5597,8.79,94,86,0.45,NZ,1722885799
35,suez,29.9737,32.5263,28.63,35,5,4.44,EG,1722885809
36,port-aux-francais,-49.35,70.2167,1.01,72,12,5.54,TF,1722885599
37,hammerfest,70.6634,23.6821,18.06,61,7,1.73,NO,1722885620
38,berdigestyakh,62.0989,126.6992,12.78,92,100,2.21,RU,1722885813
39,port lincoln,-34.7333,135.8667,9.22,91,99,4.21,AU,1722885814
40,coquimbo,-29.9533,-71.3436,15.85,47,0,4.12,CL,1722885796
41,knyaze-volkonskoye,48.4642,135.4567,22.19,94,99,4.21,RU,1722885816
42,acarau,-2.8856,-40.12,28.39,62,100,9.66,BR,1722885817
43,port isabel,26.0734,-97.2086,34.05,73,0,5.14,US,1722885818
44,saipan,15.1355,145.701,27.39,89,0,2.06,MP,1722885819
45,qui nhon,13.7667,109.2333,25.79,87,100,1.37,VN,1722885820
46,flying fish cove,-10.4217,105.6791,24.82,83,100,5.14,CX,1722885821
47,punta arenas,-53.15,-70.9167,1.06,80,20,3.6,CL,1722885596
48,margaret river,-33.95,115.0667,16.28,84,99,7.62,AU,1722885824
49,katsuura,35.1333,140.3,24.54,92,0,2.85,JP,1722885825
50,enewetak,11.3474,162.3373,28.64,73,83,2.19,MH,1722885826
51,bilibino,68.0546,166.4372,2.21,68,84,1.83,RU,1722885827
52,bijie,27.3125,105.2942,18.79,97,100,1.93,CN,1722885828
53,arkhangel'sk,64.5401,40.5433,13.06,88,40,2.0,RU,1722885829
54,berezovo,63.9381,65.0419,11.62,72,100,5.08,RU,1722885830
55,wailua homesteads,22.0669,-159.378,26.74,73,20,6.17,US,1722885802
56,callao,-12.0667,-77.15,22.46,81,69,6.3,PE,1722885832
57,hawaiian paradise park,19.5933,-154.9731,26.73,78,20,2.06,US,1722885833
58,atafu village,-8.5421,-172.5159,27.92,75,26,2.29,TK,1722885835
59,iqaluit,63.7506,-68.5145,7.85,81,100,3.6,CA,1722885836
60,luderitz,-26.6481,15.1594,13.32,66,0,7.35,NA,1722885837
61,port alfred,-33.5906,26.891,13.87,60,0,4.81,ZA,1722885838
62,shimoda,34.6667,138.95,25.61,88,8,1.55,JP,1722885839
63,harper,4.375,-7.7169,24.32,84,100,4.52,LR,1722885840
64,avarua,-21.2078,-159.775,25.03,78,2,4.12,CK,1722885841
65,isafjordur,66.0755,-23.124,11.02,82,75,7.2,IS,1722885842
66,naze,28.3667,129.4833,28.51,86,0,3.25,JP,1722885843
67,ardestan,33.3761,52.3694,35.15,13,98,1.12,IR,1722885844
68,tabora,-5.0167,32.8,20.84,20,0,1.97,TZ,1722885847
69,undurkhaan,47.3194,110.6556,14.14,87,16,1.47,MN,1722885848
70,bredasdorp,-34.5322,20.0403,8.78,83,0,3.44,ZA,1722885759
71,preobrazheniye,42.9019,133.9064,17.27,91,96,0.59,RU,1722885850
72,bethel,41.3712,-73.414,32.42,58,0,3.6,US,1722885574
73,nemuro,43.3236,145.575,16.56,100,100,1.0,JP,1722885852
74,geraldton,-28.7667,114.6,9.23,87,0,5.14,AU,1722885853
75,takoradi,4.8845,-1.7554,23.29,88,100,4.3,GH,1722885342
76,kingston,17.997,-76.7936,33.53,62,20,10.8,JM,1722885584
77,grytviken,-54.2811,-36.5092,-8.31,76,100,4.8,GS,1722885856
78,keflavik,64.0049,-22.5624,12.95,94,75,4.12,IS,1722885858
